name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Triumeq,"abacavir, dolutegravir and lamivudine",Tablets,"August 22, 2014",ViiV Healthcare,HIV Infection,https://www.drugs.com/triumeq.html,https://www.drugs.com/mtm/abacavir-dolutegravir-and-lamivudine.html,Antiviral combinations,https://www.drugs.com/images/pills/fio/VIV02310.JPG,"Descovy, Truvada, Atripla, Epzicom, Stribild, Complera",8.3,126,https://www.drugs.com/comments/abacavir-dolutegravir-lamivudine/triumeq.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,HIV Infection  ,8.3,126,https://www.drugs.com/comments/abacavir-dolutegravir-lamivudine/triumeq.html
Tymlos,abaloparatide,Injection,"April 28, 2017","Radius Health, Inc.",Osteoporosis,https://www.drugs.com/tymlos.html,https://www.drugs.com/mtm/abaloparatide.html,Parathyroid hormone and analogs,,"alendronate, Prolia, Fosamax, calcium carbonate, Premarin, Reclast",4.6,99,https://www.drugs.com/comments/abaloparatide/tymlos.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,Osteoporosis  ,4.6,98,https://www.drugs.com/comments/abaloparatide/tymlos.html
Orencia,abatacept,Injection,"December 23, 2005",Bristol-Myers Squibb Company,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Graft Versus Host Disease - Prophylaxis",https://www.drugs.com/orencia.html,https://www.drugs.com/abatacept.html,Antirheumatics,https://www.drugs.com/images/pills/custom/pill32985-1.webp,"Otezla, Stelara, Taltz, Simponi, prednisone, naproxen, methotrexate",6.0,70,https://www.drugs.com/comments/abatacept/orencia.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2005,,Rheumatoid Arthritis  ,6.1,64,https://www.drugs.com/comments/abatacept/orencia.html
Verzenio,abemaciclib,Tablets,"September 28, 2017",Eli Lilly and Company,Breast Cancer,https://www.drugs.com/verzenio.html,https://www.drugs.com/abemaciclib.html,CDK 4/6 inhibitors,https://www.drugs.com/images/pills/custom/pill26646-1/verzenio.jpeg,,8.0,19,https://www.drugs.com/comments/abemaciclib/verzenio.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,Breast Cancer  ,8.0,19,https://www.drugs.com/comments/abemaciclib/verzenio.html
Zytiga,abiraterone,Tablets,"April 28, 2011",Centocor Ortho Biotech Inc.,Prostate Cancer,https://www.drugs.com/zytiga.html,https://www.drugs.com/abiraterone.html,Miscellaneous antineoplastics,https://www.drugs.com/images/pills/nlm/578940150.jpg,"estradiol, Premarin, Xtandi, Casodex, Lynparza",8.4,40,https://www.drugs.com/comments/abiraterone/zytiga.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2011,,Prostate Cancer  ,8.4,40,https://www.drugs.com/comments/abiraterone/zytiga.html
Dysport,abobotulinumtoxinA,Injection,"April 29, 2009",Medicis and Ipsen,"Cervical Dystonia, Facial Wrinkles, Upper Limb Spasticity, Lower Limb Spasticity",https://www.drugs.com/dysport.html,https://www.drugs.com/mtm/abobotulinumtoxina.html,Skeletal muscle relaxants,,,4.7,9,https://www.drugs.com/comments/abobotulinumtoxina/dysport.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2009,,Facial Wrinkles  ,4.2,6,https://www.drugs.com/comments/abobotulinumtoxina/dysport.html
Calquence,acalabrutinib,Capsules and Tablets,"October 31, 2017",AstraZeneca,Mantle Cell Lymphoma; Chronic Lymphocytic Leukemia,https://www.drugs.com/calquence.html,https://www.drugs.com/mtm/acalabrutinib.html,BTK inhibitors,https://www.drugs.com/images/pills/custom/pill33410-1/calquence.jpeg,,9.2,15,https://www.drugs.com/comments/acalabrutinib/calquence.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,Chronic Lymphocytic Leukemia  ,9.3,13,https://www.drugs.com/comments/acalabrutinib/calquence.html
Campral,acamprosate calcium,Delayed-Release Tablets,"July 29, 2004","Allergan, Inc.",Alcohol Use Disorder,https://www.drugs.com/pro/campral.html,https://www.drugs.com/acamprosate.html,Drugs used in alcohol dependence,https://www.drugs.com/images/pills/nlm/004563330.jpg,"naltrexone, acamprosate, Vivitrol, disulfiram, Antabuse, Revia",8.8,207,https://www.drugs.com/comments/acamprosate/campral.html,Discontinued,Risk data available,Not a controlled drug, FDA approved 2004,,Alcohol Use Disorder  ,8.8,207,https://www.drugs.com/comments/acamprosate/campral.html
Tudorza,aclidinium bromide,Pressair,"July 23, 2012","Allergan, Inc.",COPD,https://www.drugs.com/tudorza.html,https://www.drugs.com/mtm/aclidinium.html,Anticholinergic bronchodilators,,,8.6,24,https://www.drugs.com/comments/aclidinium/tudorza-pressair.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,COPD  ,9.0,15,https://www.drugs.com/comments/aclidinium/tudorza-pressair.html
Avaclyr,acyclovir,Ophthalmic Ointment,"March 29, 2019",Fera Pharmaceuticals,Herpes Simplex Dendritic Keratitis,https://www.drugs.com/ppa/acyclovir-ophthalmic.html,,,,,7.6,77,https://www.drugs.com/comments/acyclovir-topical/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Cold Sores  ,7.3,61,https://www.drugs.com/comments/acyclovir-topical/
Sitavig,acyclovir,Buccal Tablets,"April 12, 2013",BioAlliance Pharma SA,Cold Sores,https://www.drugs.com/sitavig.html,https://www.drugs.com/acyclovir.html,Purine nucleosides,https://www.drugs.com/images/pills/fio/EPH00490.JPG,"acyclovir, valacyclovir, Valtrex, Zovirax, tetracaine topical",8.5,12,https://www.drugs.com/comments/acyclovir/sitavig.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Cold Sores  ,8.5,12,https://www.drugs.com/comments/acyclovir/sitavig.html
Hadlima,adalimumab-bwwd,Injection,"July 23, 2019","Samsung Bioepis Co., Ltd.","Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",https://www.drugs.com/mtm/hadlima-prefilled-syringe.html,https://www.drugs.com/abrilada.html,Cyltezo,https://www.drugs.com/images/pills/custom/pill32858-2/humira.png,,6.3,705,https://www.drugs.com/comments/adalimumab/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Rheumatoid Arthritis  ,6.2,146,https://www.drugs.com/comments/adalimumab/
Hadlima,adalimumab-bwwd,Injection,"July 23, 2019","Samsung Bioepis Co., Ltd.","Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",https://www.drugs.com/mtm/hadlima-prefilled-syringe.html,https://www.drugs.com/abrilada.html,Cyltezo,https://www.drugs.com/images/pills/custom/pill32858-2/humira.png,,6.3,705,https://www.drugs.com/comments/adalimumab/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Rheumatoid Arthritis  ,6.2,146,https://www.drugs.com/comments/adalimumab/
Hyrimoz,adalimumab-adaz,Injection,"October 30, 2018",Sandoz Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",https://www.drugs.com/mtm/hyrimoz-prefilled-pen.html,https://www.drugs.com/abrilada.html,Cyltezo,https://www.drugs.com/images/pills/custom/pill32858-2/humira.png,"Entyvio, Cimzia, Otezla, Stelara, Taltz, Lialda, Remicade",6.3,705,https://www.drugs.com/comments/adalimumab/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Rheumatoid Arthritis  ,6.2,146,https://www.drugs.com/comments/adalimumab/
Hyrimoz,adalimumab-adaz,Injection,"October 30, 2018",Sandoz Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",https://www.drugs.com/mtm/hyrimoz-prefilled-pen.html,https://www.drugs.com/abrilada.html,Cyltezo,https://www.drugs.com/images/pills/custom/pill32858-2/humira.png,"Entyvio, Cimzia, Otezla, Stelara, Taltz, Lialda, Remicade",6.3,705,https://www.drugs.com/comments/adalimumab/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Rheumatoid Arthritis  ,6.2,146,https://www.drugs.com/comments/adalimumab/
Humira,adalimumab,Injection,"December 31, 2002","Abbvie, Inc.","Rheumatoid Arthritis, Psoriatic Arthritis, Crohn's Disease, Active, Crohn's Disease, Maintenance, Psoriasis, Juvenile Idiopathic Arthritis, Ulcerative Colitis, Hidradenitis Suppurativa, Uveitis",https://www.drugs.com/humira.html,https://www.drugs.com/adalimumab.html,Antirheumatics,https://www.drugs.com/images/pills/custom/pill32858-2/humira.png,,6.3,680,https://www.drugs.com/comments/adalimumab/humira.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2002,,Rheumatoid Arthritis  ,6.1,140,https://www.drugs.com/comments/adalimumab/humira.html
Epiduo Forte,adapalene and benzoyl peroxide,Topical Gel,"July 15, 2015","Galderma Laboratories, L.P.",Acne,https://www.drugs.com/mtm/adapalene-and-benzoyl-peroxide-topical.html,https://www.drugs.com/epiduo.html,Epiduo Forte,,"doxycycline, clindamycin topical, erythromycin topical, tetracycline, Tazorac",7.3,938,https://www.drugs.com/comments/adapalene-benzoyl-peroxide-topical/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Acne  ,7.3,934,https://www.drugs.com/comments/adapalene-benzoyl-peroxide-topical/
Epiduo,adapalene and benzoyl peroxide,Gel,"December 8, 2008","Galderma Laboratories, L.P.",Acne,https://www.drugs.com/epiduo.html,https://www.drugs.com/mtm/adapalene-and-benzoyl-peroxide-topical.html,Epiduo Forte,,"doxycycline, clindamycin topical, erythromycin topical, tetracycline, Tazorac",7.3,720,https://www.drugs.com/comments/adapalene-benzoyl-peroxide-topical/epiduo.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Acne  ,7.3,717,https://www.drugs.com/comments/adapalene-benzoyl-peroxide-topical/epiduo.html
Eylea,aflibercept,Injection,"November 18, 2011","Regeneron Pharmaceuticals, Inc.","Macular Degeneration, Macular Edema, Diabetic Retinopathy, Diabetic Macular Edema, Retinopathy of Prematurity",https://www.drugs.com/eylea.html,https://www.drugs.com/mtm/aflibercept-ophthalmic.html,Eylea HD,https://www.drugs.com/images/pills/custom/pill33224-1/eylea.jpeg,"triamcinolone ophthalmic, dexamethasone ophthalmic, Vabysmo, Izervay, fluocinolone ophthalmic, aflibercept ophthalmic, Lucentis",7.1,61,https://www.drugs.com/comments/aflibercept-ophthalmic/eylea.html,Prescription only,Risk data available,Not a controlled drug,,,Macular Degeneration  ,7.1,34,https://www.drugs.com/comments/aflibercept-ophthalmic/eylea.html
Eylea,aflibercept,Injection,"November 18, 2011","Regeneron Pharmaceuticals, Inc.","Macular Degeneration, Macular Edema, Diabetic Retinopathy, Diabetic Macular Edema, Retinopathy of Prematurity",https://www.drugs.com/eylea.html,https://www.drugs.com/mtm/aflibercept-ophthalmic.html,Eylea HD,https://www.drugs.com/images/pills/custom/pill33224-1/eylea.jpeg,"triamcinolone ophthalmic, dexamethasone ophthalmic, Vabysmo, Izervay, fluocinolone ophthalmic, aflibercept ophthalmic, Lucentis",7.1,61,https://www.drugs.com/comments/aflibercept-ophthalmic/eylea.html,Prescription only,Risk data available,Not a controlled drug,,,Macular Degeneration  ,7.1,34,https://www.drugs.com/comments/aflibercept-ophthalmic/eylea.html
Eylea,aflibercept,Injection,"November 18, 2011","Regeneron Pharmaceuticals, Inc.","Macular Degeneration, Macular Edema, Diabetic Retinopathy, Diabetic Macular Edema, Retinopathy of Prematurity",https://www.drugs.com/eylea.html,https://www.drugs.com/mtm/aflibercept-ophthalmic.html,Eylea HD,https://www.drugs.com/images/pills/custom/pill33224-1/eylea.jpeg,"triamcinolone ophthalmic, dexamethasone ophthalmic, Vabysmo, Izervay, fluocinolone ophthalmic, aflibercept ophthalmic, Lucentis",7.1,61,https://www.drugs.com/comments/aflibercept-ophthalmic/eylea.html,Prescription only,Risk data available,Not a controlled drug,,,Macular Degeneration  ,7.1,34,https://www.drugs.com/comments/aflibercept-ophthalmic/eylea.html
