name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,WADA Class,Approval History,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Dysport,abobotulinumtoxinA,Injection,"April 29, 2009",Medicis and Ipsen,"Cervical Dystonia, Facial Wrinkles, Upper Limb Spasticity, Lower Limb Spasticity",https://www.drugs.com/dysport.html,https://www.drugs.com/mtm/abobotulinumtoxina.html,Skeletal muscle relaxants,,,4.7,9,https://www.drugs.com/comments/abobotulinumtoxina/dysport.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Facial Wrinkles  ,4.2,6,https://www.drugs.com/comments/abobotulinumtoxina/dysport.html
Valturna,aliskiren and valsartan,Tablets,"September 16, 2009",Novartis,High Blood Pressure,https://www.drugs.com/valturna.html,https://www.drugs.com/drug-class/miscellaneous-antihypertensive-combinations.html,,https://www.drugs.com/images/pills/nlm/200000202.jpg,,5.8,9,https://www.drugs.com/comments/aliskiren-valsartan/valturna.html,Discontinued,Risk data available,Not a controlled drug,,Drug history at FDA,High Blood Pressure  ,5.8,9,https://www.drugs.com/comments/aliskiren-valsartan/valturna.html
Twynsta,telmisartan and amlodipine,Tablets,"October 16, 2009",Boehringer Ingelheim Pharmaceuticals Inc.,High Blood Pressure,https://www.drugs.com/twynsta.html,https://www.drugs.com/mtm/amlodipine-and-telmisartan.html,Angiotensin II inhibitors with calcium channel blockers,,"amlodipine, lisinopril, metoprolol, losartan, furosemide, hydrochlorothiazide",8.3,12,https://www.drugs.com/comments/amlodipine-telmisartan/twynsta.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,High Blood Pressure  ,8.3,12,https://www.drugs.com/comments/amlodipine-telmisartan/twynsta.html
Coartem,artemether and lumefantrine,Tablets,"April 7, 2009",Novartis,Malaria,https://www.drugs.com/coartem.html,https://www.drugs.com/mtm/artemether-and-lumefantrine.html,Antimalarial combinations,https://www.drugs.com/images/pills/nlm/00078-0568-45_NLMIMAGE10_6C443641.jpg,"doxycycline, clindamycin, hydroxychloroquine, Plaquenil, Vibramycin",9.7,8,https://www.drugs.com/comments/artemether-lumefantrine/coartem.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Malaria  ,9.7,8,https://www.drugs.com/comments/artemether-lumefantrine/coartem.html
Saphris,asenapine,Sublingual Tablets,"August 13, 2009","Allergan, Inc.","Schizophrenia, Bipolar Disorder",https://www.drugs.com/saphris.html,https://www.drugs.com/mtm/asenapine-sublingual.html,Atypical antipsychotics,https://www.drugs.com/images/pills/mtm/Saphris%205%20mg.jpg,,7.4,316,https://www.drugs.com/comments/asenapine/saphris.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,Bipolar Disorder  ,7.3,229,https://www.drugs.com/comments/asenapine/saphris.html
Bepreve,bepotastine,Ophthalmic Solution,"September 8, 2009","ISTA Pharmaceuticals, Inc.","Conjunctivitis, Allergic",https://www.drugs.com/bepreve.html,https://www.drugs.com/mtm/bepotastine-ophthalmic.html,Ophthalmic antihistamines and decongestants,,,6.5,27,https://www.drugs.com/comments/bepotastine-ophthalmic/bepreve.html,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,"Conjunctivitis, Allergic  ",6.6,26,https://www.drugs.com/comments/bepotastine-ophthalmic/bepreve.html
Colcrys,colchicine,Tablets,"July 29, 2009","Mutual Pharmaceutical Company, Inc.","Gout, Familial Mediterranean Fever, Gout, Prophylaxis, Gout, Acute",https://www.drugs.com/colcrys.html,https://www.drugs.com/mtm/colchicine.html,Mitigare,,,7.9,23,https://www.drugs.com/comments/colchicine/colcrys.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,"Gout, Acute  ",7.7,20,https://www.drugs.com/comments/colchicine/colcrys.html
Ozurdex,dexamethasone,Intravitreal Implant,"June 17, 2009","Allergan, Inc.","Macular Edema, Uveitis",https://www.drugs.com/ozurdex.html,https://www.drugs.com/mtm/dexamethasone-intraocular.html,Ophthalmic steroids,,"prednisone, triamcinolone ophthalmic, dexamethasone ophthalmic, Humira, azathioprine, Decadron, atropine ophthalmic",6.6,9,https://www.drugs.com/comments/dexamethasone-ophthalmic/ozurdex.html,Prescription only,Risk data available,Not a controlled drug,Anti-Doping Classification,Drug history at FDA,Macular Edema  ,6.7,3,https://www.drugs.com/comments/dexamethasone-ophthalmic/ozurdex.html
Dexilant,dexlansoprazole,Delayed Release Capsules  - formerly Kapidex,"January 30, 2009",Takeda Pharmaceutical Company Limited,"Erosive Esophagitis, GERD",https://www.drugs.com/mtm/dexilant.html,https://www.drugs.com/mtm/dexlansoprazole.html,Proton pump inhibitors,https://www.drugs.com/images/pills/fio/TAP09150.JPG,,6.5,205,https://www.drugs.com/comments/dexlansoprazole/dexilant.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,GERD  ,6.2,166,https://www.drugs.com/comments/dexlansoprazole/dexilant.html
Pennsaid,diclofenac sodium,Topical Solution,"November 4, 2009",Nuvo Research Inc.,Osteoarthritis,https://www.drugs.com/pennsaid.html,https://www.drugs.com/mtm/diclofenac-topical.html,Topical non-steroidal anti-inflammatories,,"prednisone, ibuprofen, aspirin, meloxicam, naproxen, Cymbalta",7.4,54,https://www.drugs.com/comments/diclofenac-topical/pennsaid.html,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,Osteoarthritis  ,7.6,49,https://www.drugs.com/comments/diclofenac-topical/pennsaid.html
