name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Triumeq,"abacavir, dolutegravir and lamivudine",Tablets,"August 22, 2014",ViiV Healthcare,HIV Infection,https://www.drugs.com/triumeq.html,https://www.drugs.com/mtm/abacavir-dolutegravir-and-lamivudine.html,Antiviral combinations,https://www.drugs.com/images/pills/fio/VIV02310.JPG,"Descovy, Truvada, Atripla, Epzicom, Stribild, Complera",8.3,126,https://www.drugs.com/comments/abacavir-dolutegravir-lamivudine/triumeq.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,HIV Infection  ,8.3,126,https://www.drugs.com/comments/abacavir-dolutegravir-lamivudine/triumeq.html
Tanzeum,albiglutide,Injection,"April 15, 2014",GlaxoSmithKline (GSK) plc,"Diabetes, Type 2",https://www.drugs.com/tanzeum.html,https://www.drugs.com/cons/albiglutide.html,Incretin Mimetics (GLP-1 Agonists),,"metformin, Trulicity, Lantus, Tresiba, Victoza, Levemir",4.6,11,https://www.drugs.com/comments/albiglutide/tanzeum.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2014,,"Diabetes, Type 2  ",4.6,11,https://www.drugs.com/comments/albiglutide/tanzeum.html
Lemtrada,alemtuzumab,Injection,"November 14, 2014",Genzyme,Multiple Sclerosis,https://www.drugs.com/mtm/lemtrada.html,https://www.drugs.com/mtm/alemtuzumab.html,Campath,,"Vumerity, Mavenclad, Zeposia, Copaxone, Aubagio, Gilenya, Tysabri",6.3,20,https://www.drugs.com/comments/alemtuzumab/lemtrada.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Multiple Sclerosis  ,6.3,20,https://www.drugs.com/comments/alemtuzumab/lemtrada.html
Otezla,apremilast,Tablets,"March 21, 2014",Celgene Corporation,"Psoriatic Arthritis, Plaque Psoriasis, Behcet's Disease",https://www.drugs.com/otezla.html,https://www.drugs.com/apremilast.html,Antirheumatics,https://www.drugs.com/images/pills/nlm/595720631.jpg,"Cimzia, Stelara, Taltz, Remicade, Simponi, prednisone, Humira",5.1,429,https://www.drugs.com/comments/apremilast/otezla.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2014,,Plaque Psoriasis  ,5.2,291,https://www.drugs.com/comments/apremilast/otezla.html
Onexton,benzoyl peroxide and clindamycin phosphate,Gel,"November 25, 2014","Valeant Pharmaceuticals International, Inc.",Acne,https://www.drugs.com/mtm/benzoyl-peroxide-and-clindamycin-topical.html,https://www.drugs.com/acanya.html,Neuac,,,7.7,577,https://www.drugs.com/comments/benzoyl-peroxide-clindamycin-topical/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Acne  ,7.7,575,https://www.drugs.com/comments/benzoyl-peroxide-clindamycin-topical/
Bunavail,buprenorphine and naloxone,Buccal Film,"June 6, 2014","BioDelivery Sciences International, Inc.",Opioid Use Disorder,https://www.drugs.com/bunavail.html,https://www.drugs.com/mtm/buprenorphine-and-naloxone-oral-sublingual.html,Narcotic analgesic combinations,https://www.drugs.com/images/pills/custom/pill22889-1/bunavail.jpeg,,6.2,62,https://www.drugs.com/comments/buprenorphine-naloxone/bunavail.html,Discontinued,Risk data available,Moderate abuse potential,Drug history at FDA,Anti-Doping Classification,Opioid Use Disorder  ,6.2,62,https://www.drugs.com/comments/buprenorphine-naloxone/bunavail.html
Contrave,bupropion and naltrexone,Tablets,"September 10, 2014","Orexigen Therapeutics, Inc.",Weight Loss (Obesity/Overweight),https://www.drugs.com/contrave.html,https://www.drugs.com/mtm/bupropion-and-naltrexone.html,Anorexiants,https://www.drugs.com/images/pills/fio/TKD08900.JPG,"Mounjaro, semaglutide, phentermine, Wegovy, Saxenda, Alli",6.6,"1,981",https://www.drugs.com/comments/bupropion-naltrexone/contrave.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Weight Loss (Obesity/Overweight)  ,6.6,1971,https://www.drugs.com/comments/bupropion-naltrexone/contrave.html
Xigduo XR,dapagliflozin and metformin hydrochloride,Extended-Release Tablets,"October 30, 2014",AstraZeneca,"Diabetes, Type 2, Heart Failure",https://www.drugs.com/xigduo-xr.html,https://www.drugs.com/mtm/dapagliflozin-and-metformin.html,Antidiabetic combinations,https://www.drugs.com/images/pills/mtm/Dapagliflozin-metformin%205-1000%20mg%20003106260.jpg,,6.9,17,https://www.drugs.com/comments/dapagliflozin-metformin/xigduo-xr.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,"Diabetes, Type 2  ",6.9,17,https://www.drugs.com/comments/dapagliflozin-metformin/xigduo-xr.html
Farxiga,dapagliflozin,Tablets,"January 8, 2014",AstraZeneca,"Diabetes, Type 2, Heart Failure, Chronic Kidney Disease",https://www.drugs.com/farxiga.html,https://www.drugs.com/dapagliflozin.html,SGLT-2 inhibitors,https://www.drugs.com/images/pills/fio/ASZ62100.JPG,,4.6,148,https://www.drugs.com/comments/dapagliflozin/farxiga.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2014,,"Diabetes, Type 2  ",4.4,130,https://www.drugs.com/comments/dapagliflozin/farxiga.html
Viekira Pak,ombitasvir/paritaprevir/ritonavir with dasabuvir,Tablets,"December 19, 2014",AbbVie Inc.,Hepatitis C,https://www.drugs.com/viekira.html,https://www.drugs.com/cons/dasabuvir-ombitasvir-paritaprevir-and-ritonavir.html,Viekira XR,https://www.drugs.com/images/pills/custom/pill22571-1/viekira-pak.jpg,,7.0,13,https://www.drugs.com/comments/dasabuvir-ombitasvir-paritaprevir-ritonavir/viekira-pak.html,Prescription only,Risk data available,Not a controlled drug,,,Hepatitis C  ,7.0,13,https://www.drugs.com/comments/dasabuvir-ombitasvir-paritaprevir-ritonavir/viekira-pak.html
