name,molecule,dosage_form,date_of_approval,company,treatment_for,url,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,side_effects_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,number_side_effects,price,shop_dosis,prices_url
Abecma,idecabtagene vicleucel,Suspension for Intravenous Infusion,"March 26, 2021",Bristol Myers Squibb,Multiple Myeloma,https://www.drugs.com/abecma.html,https://www.drugs.com/mtm/idecabtagene-vicleucel.html,Miscellaneous antineoplastics,,,,,,https://www.drugs.com/sfx/abecma-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,84.0,"$524,833.07",Abecma,https://www.drugs.com/price-guide/abecma
Abilify Asimtufii,aripiprazole,Extended-Release Injectable Suspension,"April 27, 2023","Otsuka Pharmaceutical Co., Ltd.","Schizophrenia, Bipolar Disorder",https://www.drugs.com/abilify-asimtufii.html,https://www.drugs.com/aripiprazole.html,,,"quetiapine, lamotrigine, aripiprazole, Abilify, Seroquel, olanzapine, risperidone",,,,https://www.drugs.com/sfx/abilify-asimtufii-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,2.0,"$4,463.44",720 mg/2.4 mL,https://www.drugs.com/price-guide/abilify-asimtufii
Abilify Maintena,aripiprazole,for Extended-Release Injectable Suspension,"February 28, 2013","Otsuka Pharmaceutical Co., Ltd. and H. Lundbeck A/S","Schizophrenia, Bipolar Disorder",https://www.drugs.com/abilify-maintena.html,https://www.drugs.com/aripiprazole.html,Atypical antipsychotics,,"quetiapine, lamotrigine, aripiprazole, Abilify, Seroquel, olanzapine, risperidone",6.2,63,https://www.drugs.com/comments/aripiprazole/abilify-maintena.html,https://www.drugs.com/sfx/abilify-maintena-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Schizophrenia  ,6.4,37,2.0,"$2,236.47",300 mg,https://www.drugs.com/price-guide/abilify-maintena
Abraxane,paclitaxel protein-bound,for Injectable Suspension,"January 7, 2005","American Pharmaceutical Partners, Inc. / American Bioscience, Inc.","Breast Cancer, Non-Small Cell Lung Cancer, Pancreatic Cancer",https://www.drugs.com/abraxane.html,https://www.drugs.com/mtm/paclitaxel-protein-bound.html,Mitotic inhibitors,,"Enhertu, Kisqali, Ibrance, Trodelvy, Opdivo, methotrexate, Keytruda",,,,https://www.drugs.com/sfx/abraxane-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,21.0,"$1,673.30",100 mg,https://www.drugs.com/price-guide/abraxane
Abrilada,adalimumab-afzb,Injection,"November 15, 2019",Pfizer Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",https://www.drugs.com/abrilada.html,https://www.drugs.com/adalimumab.html,TNF alfa inhibitors,,,,,,https://www.drugs.com/sfx/abrilada-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,19.0,"$2,925.30",afzb 20 mg/0.4 mL,https://www.drugs.com/price-guide/abrilada
Abrysvo,respiratory syncytial virus vaccine,Injection,"May 31, 2023","Pfizer, Inc.",RSV,https://www.drugs.com/abrysvo.html,https://www.drugs.com/rsv-vaccine.html,Viral vaccines,,"Arexvy, ribavirin, palivizumab, Beyfortus, Synagis, rsv vaccine, pref a-pref b, recombinant, nirsevimab",,,,https://www.drugs.com/sfx/abrysvo-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,7.0,$320.14,preservative-free 60 mcg-60 mcg,https://www.drugs.com/price-guide/abrysvo
Abstral,fentanyl,Sublingual Tablets,"January 7, 2011",Orexo AB,Pain,https://www.drugs.com/abstral.html,https://www.drugs.com/fentanyl.html,Fentora,,"gabapentin, acetaminophen, tramadol, naproxen, oxycodone, Cymbalta, fentanyl",,,,https://www.drugs.com/sfx/abstral-side-effects.html,Discontinued,Risk data available,High potential for abuse,Drug history at FDA,Anti-Doping Classification,,,,3.0,"$1,037.25",100 mcg,https://www.drugs.com/price-guide/abstral
ACAM2000,,,"August 31, 2007","Emergent BioSolutions, Inc.",Smallpox Prophylaxis,https://www.drugs.com/acam2000.html,https://www.drugs.com/mtm/smallpox-vaccine.html,Viral vaccines,,,,,,https://www.drugs.com/sfx/acam2000-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,3.0,,,
Acanya,benzoyl peroxide and clindamycin phosphate,Topical Gel,"October 21, 2008","Dow Pharmaceutical Sciences, Inc.",Acne,https://www.drugs.com/acanya.html,https://www.drugs.com/mtm/benzoyl-peroxide-and-clindamycin-topical.html,Topical acne agents,,"doxycycline, clindamycin topical, erythromycin topical, tetracycline, Tazorac",7.5,56,https://www.drugs.com/comments/benzoyl-peroxide-clindamycin-topical/acanya.html,https://www.drugs.com/sfx/acanya-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Acne  ,7.5,56,2.0,$564.97,2.5%-1.2%,https://www.drugs.com/price-guide/acanya
Accretropin,,,"January 23, 2008",Emergent,"Pediatric Growth Hormone Deficiency, Turner Syndrome",https://www.drugs.com/accretropin.html,https://www.drugs.com/mtm/somatropin.html,Growth hormones,,"Genotropin, somatropin, oxandrolone, Omnitrope, Skytrofa, Norditropin, Humatrope",,,,https://www.drugs.com/sfx/accretropin-side-effects.html,Discontinued,Risk data available,Not a controlled drug,Drug history at FDA,,,,,1.0,,,
