name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Hyrimoz,adalimumab-adaz,Injection,"October 30, 2018",Sandoz Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",https://www.drugs.com/mtm/hyrimoz-prefilled-pen.html,https://www.drugs.com/abrilada.html,Cyltezo,https://www.drugs.com/images/pills/custom/pill32858-2/humira.png,"Entyvio, Cimzia, Otezla, Stelara, Taltz, Lialda, Remicade",6.3,705,https://www.drugs.com/comments/adalimumab/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Rheumatoid Arthritis  ,6.2,146,https://www.drugs.com/comments/adalimumab/
Erleada,apalutamide,Tablets,"February 14, 2018","Janssen Pharmaceuticals, Inc.",Prostate Cancer,https://www.drugs.com/erleada.html,https://www.drugs.com/apalutamide.html,Antiandrogens,https://www.drugs.com/images/pills/fio/JAN06000.JPG,,6.9,12,https://www.drugs.com/comments/apalutamide/erleada.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Prostate Cancer  ,6.9,12,https://www.drugs.com/comments/apalutamide/erleada.html
Xofluza,baloxavir marboxil,Tablets and Granules for Oral Suspension,"October 24, 2018","Genentech, Inc.","Influenza, Influenza Prophylaxis",https://www.drugs.com/xofluza.html,https://www.drugs.com/mtm/baloxavir-marboxil.html,Miscellaneous antivirals,https://www.drugs.com/images/pills/fio/GNN08600.JPG,,7.7,27,https://www.drugs.com/comments/baloxavir-marboxil/xofluza.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Influenza  ,7.7,27,https://www.drugs.com/comments/baloxavir-marboxil/xofluza.html
Olumiant,baricitinib,Tablets,"May 31, 2018",Eli Lilly and Company and Incyte Corporation,"Rheumatoid Arthritis, COVID-19, Alopecia",https://www.drugs.com/olumiant.html,https://www.drugs.com/mtm/baricitinib.html,Antirheumatics,https://www.drugs.com/images/pills/fio/LLY41820.JPG,"triamcinolone, hydroxychloroquine, Paxlovid, Humira, minoxidil topical, Enbrel, Remicade",7.8,11,https://www.drugs.com/comments/baricitinib/olumiant.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Rheumatoid Arthritis  ,9.5,6,https://www.drugs.com/comments/baricitinib/olumiant.html
Biktarvy,"bictegravir, emtricitabine and tenofovir alafenamide",Tablets,"February 7, 2018","Gilead Sciences, Inc.",HIV Infection,https://www.drugs.com/biktarvy.html,https://www.drugs.com/mtm/bictegravir-emtricitabine-and-tenofovir.html,Antiviral combinations,https://www.drugs.com/images/pills/fio/GIL25010.JPG,"Descovy, Truvada, Atripla, Epzicom, Stribild, Complera",7.1,199,https://www.drugs.com/comments/bictegravir-emtricitabine-tenofovir-alafenamide/biktarvy.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,HIV Infection  ,7.1,198,https://www.drugs.com/comments/bictegravir-emtricitabine-tenofovir-alafenamide/biktarvy.html
Symtuza,"cobicistat, darunavir, emtricitabine and tenofovir alafenamide",Tablets,"July 17, 2018","Janssen Pharmaceuticals, Inc.",HIV Infection,https://www.drugs.com/symtuza.html,https://www.drugs.com/mtm/cobicistat-darunavir-emtricitabine-and-tenofovir.html,Antiviral combinations,https://www.drugs.com/images/pills/custom/pill27685-1/symtuza.png,"Descovy, Truvada, Atripla, Epzicom, Stribild, Complera",8.2,9,https://www.drugs.com/comments/cobicistat-darunavir-emtricitabine-tenofovir-alafenamide/symtuza.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,HIV Infection  ,8.3,9,https://www.drugs.com/comments/cobicistat-darunavir-emtricitabine-tenofovir-alafenamide/symtuza.html
Cequa,cyclosporine,Ophthalmic Solution,"August 14, 2018",Sun Pharmaceutical Industries Ltd.,Dry Eye Disease,https://www.drugs.com/cequa.html,https://www.drugs.com/mtm/cyclosporine-ophthalmic.html,Miscellaneous ophthalmic agents,https://www.drugs.com/images/pills/custom/pill33129-1/cequa.png,"Tyrvaya, cyclosporine ophthalmic, varenicline, Restasis, Xiidra, Artificial Tears, Miebo",4.3,31,https://www.drugs.com/comments/cyclosporine-ophthalmic/cequa.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Dry Eye Disease  ,4.3,31,https://www.drugs.com/comments/cyclosporine-ophthalmic/cequa.html
Orilissa,elagolix,Tablets,"July 23, 2018","AbbVie, Inc.",Endometriosis,https://www.drugs.com/orilissa.html,https://www.drugs.com/elagolix.html,Gonadotropin-releasing hormone antagonists,https://www.drugs.com/images/pills/fio/ABV00380.JPG,"norethindrone, medroxyprogesterone, Provera, leuprolide, Sprintec, Zoladex",5.3,126,https://www.drugs.com/comments/elagolix/orilissa.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Endometriosis  ,5.3,123,https://www.drugs.com/comments/elagolix/orilissa.html
Primatene Mist,epinephrine,Inhalation Aerosol,"November 8, 2018","Amphastar Pharmaceuticals, Inc.",Asthma,https://www.drugs.com/mtm/primatene-mist-inhaler.html,https://www.drugs.com/epinephrine-injection.html,Adrenergic bronchodilators,,"albuterol, methylprednisolone, dexamethasone, Ventolin HFA, Ventolin, Xopenex",6.9,42,https://www.drugs.com/comments/epinephrine/primatene-mist.html,Over the counter,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,"Asthma, acute  ",6.5,36,https://www.drugs.com/comments/epinephrine/primatene-mist.html
Aimovig,erenumab-aooe,Injection,"May 17, 2018",Amgen Inc.,Migraine Prevention,https://www.drugs.com/aimovig.html,https://www.drugs.com/mtm/erenumab.html,CGRP inhibitors,https://www.drugs.com/images/pills/custom/pill32665-1/aimovig.png,,5.0,614,https://www.drugs.com/comments/erenumab/aimovig.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Migraine Prevention  ,5.0,613,https://www.drugs.com/comments/erenumab/aimovig.html
Bijuva,estradiol and progesterone,Capsules  - formerly TX-001HR,"October 28, 2018","TherapeuticsMD, Inc.",Menopausal Vasomotor Symptoms,https://www.drugs.com/bijuva.html,https://www.drugs.com/mtm/estradiol-and-progesterone.html,Sex hormone combinations,https://www.drugs.com/images/pills/fio/TRA02110.JPG,"paroxetine, estradiol, progesterone, Premarin, Estrace, megestrol, Veozah",5.8,42,https://www.drugs.com/comments/estradiol-progesterone/bijuva.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Perimenopausal Symptoms  ,6.0,18,https://www.drugs.com/comments/estradiol-progesterone/bijuva.html
Balcoltra,ethinyl estradiol/levonorgestrel and ferrous bisglycinate,Tablets,"January 9, 2018","Avion Pharmaceuticals, LLC",Prevention of Pregnancy,https://www.drugs.com/mtm/balcoltra.html,https://www.drugs.com/mtm/ethinyl-estradiol-and-levonorgestrel.html,Afirmelle,,"norethindrone, medroxyprogesterone, levonorgestrel, Provera, Mirena, Yaz",3.6,62,https://www.drugs.com/comments/ethinyl-estradiol-levonorgestrel/balcoltra.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Birth Control  ,3.7,60,https://www.drugs.com/comments/ethinyl-estradiol-levonorgestrel/balcoltra.html
Annovera,ethinyl estradiol and segesterone acetate,Vaginal System,"August 10, 2018",The Population Council,Birth Control,https://www.drugs.com/annovera.html,https://www.drugs.com/mtm/ethinyl-estradiol-and-segesterone-vaginal-ring.html,Contraceptives,,"norethindrone, medroxyprogesterone, levonorgestrel, Provera, Mirena, Yaz",6.2,96,https://www.drugs.com/comments/ethinyl-estradiol-segesterone/annovera.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Birth Control  ,6.2,96,https://www.drugs.com/comments/ethinyl-estradiol-segesterone/annovera.html
Ajovy,fremanezumab-vfrm,Injection,"September 14, 2018",Teva Pharmaceutical Industries Ltd.,Migraine Prevention,https://www.drugs.com/ajovy.html,https://www.drugs.com/mtm/fremanezumab.html,CGRP inhibitors,https://www.drugs.com/images/pills/custom/pill32756-1/ajovy.png,,5.4,320,https://www.drugs.com/comments/fremanezumab/ajovy.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Migraine Prevention  ,5.4,319,https://www.drugs.com/comments/fremanezumab/ajovy.html
Emgality,galcanezumab-gnlm,Injection,"September 27, 2018",Eli Lilly and Company,"Migraine Prevention, Cluster Headaches",https://www.drugs.com/emgality.html,https://www.drugs.com/mtm/galcanezumab.html,CGRP inhibitors,https://www.drugs.com/images/pills/custom/pill32774-1/emgality.jpeg,"Qulipta, prednisone, propranolol, topiramate, Botox, Depakote, sumatriptan",5.0,459,https://www.drugs.com/comments/galcanezumab/emgality.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Migraine Prevention  ,4.9,419,https://www.drugs.com/comments/galcanezumab/emgality.html
Qbrexza,glycopyrronium,Cloth for Topical Use,"June 28, 2018","Dermira, Inc.",Hyperhidrosis,https://www.drugs.com/mtm/qbrexza-glycopyrronium-cloth.html,https://www.drugs.com/mtm/glycopyrrolate-topical-glycopyrronium-cloth.html,Miscellaneous topical agents,,,5.5,47,https://www.drugs.com/comments/glycopyrronium-topical/qbrexza.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Hyperhidrosis  ,5.5,47,https://www.drugs.com/comments/glycopyrronium-topical/qbrexza.html
Lucemyra,lofexidine hydrochloride,Tablets,"May 16, 2018",US WorldMeds,Opiate Withdrawal,https://www.drugs.com/lucemyra.html,https://www.drugs.com/lofexidine.html,"Antiadrenergic agents, centrally acting",https://www.drugs.com/images/pills/fio/UWM00500.JPG,,6.5,41,https://www.drugs.com/comments/lofexidine/lucemyra.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,Opiate Withdrawal  ,6.5,41,https://www.drugs.com/comments/lofexidine/lucemyra.html
Jornay PM,methylphenidate hydrochloride,Extended-Release Capsules,"August 8, 2018","Ironshore Pharmaceuticals & Development, Inc.",Attention Deficit Hyperactivity Disorder (ADHD),https://www.drugs.com/jornay-pm.html,https://www.drugs.com/methylphenidate.html,CNS stimulants,https://www.drugs.com/images/pills/fio/IRN02030.JPG,"Adderall, Vyvanse, methylphenidate, atomoxetine, Concerta, Strattera",9.3,16,https://www.drugs.com/comments/methylphenidate/jornay-pm.html,Prescription only,Risk data available,High potential for abuse,Drug history at FDA,Anti-Doping Classification,ADHD  ,9.5,15,https://www.drugs.com/comments/methylphenidate/jornay-pm.html
