name,molecule,dosage_form,date_of_approval,company,treatment_for,url,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,CSA Schedule*,Pregnancy & Lactation,Approval History,WADA Class
Amtagvi,lifileucel,Suspension for Intravenous Infusion,"February 16, 2024","Iovance Biotherapeutics, Inc.",Melanoma,https://www.drugs.com/amtagvi.html,https://www.drugs.com/monograph/lifileucel.html,,,"Opdivo, Keytruda, pembrolizumab, nivolumab, atezolizumab, ipilimumab",,,,Prescription only,,,,
Aurlumyn,iloprost,Injection,"February 13, 2024",Eicos Sciences Inc.,Frostbite,https://www.drugs.com/aurlumyn.html,https://www.drugs.com/mtm/iloprost-inhalation.html,,,,,,,Prescription only,Not a controlled drug,Risk data available,Drug history at FDA,
Duvyzat,givinostat,Oral Suspension,"March 21, 2024",Italfarmaco Group,Duchenne Muscular Dystrophy,https://www.drugs.com/duvyzat.html,,,,,,,,Prescription only,,, FDA approved 2024,
Eohilia,budesonide,Oral Suspension  - formerly TAK-721,"February 9, 2024",Takeda Pharmaceutical Company Limited,Eosinophilic Esophagitis,https://www.drugs.com/eohilia.html,https://www.drugs.com/mtm/budesonide.html,Glucocorticoids,https://www.drugs.com/images/pills/custom/pill35566-1/eohilia.jpg,"fluticasone, budesonide, Dupixent, Flovent, Flovent HFA, dupilumab",,,,Prescription only,Not a controlled drug,Risk data available,Drug history at FDA,Anti-Doping Classification
Exblifep,cefepime and enmetazobactam,Injection,"February 22, 2024",Allecra Therapeutics,Urinary Tract Infection,https://www.drugs.com/exblifep.html,https://www.drugs.com/monograph/cefepime-hydrochloride-and-enmetazobactam.html,,,"amoxicillin, doxycycline, ciprofloxacin, ceftriaxone, Augmentin, levofloxacin",,,,Prescription only,,,Drug history at FDA,
Jubbonti,denosumab-bbdz,Injection,"March 5, 2024",Sandoz,Osteoporosis,https://www.drugs.com/jubbonti.html,https://www.drugs.com/denosumab.html,Miscellaneous bone resorption inhibitors,,,,,,Prescription only,Not a controlled drug,Risk data available,,
Lenmeldy,atidarsagene autotemcel,Suspension for Intravenous Infusion  - formerly OTL-200,"March 18, 2024",Orchard Therapeutics,Metachromatic Leukodystrophy,https://www.drugs.com/lenmeldy.html,,,,,,,,Prescription only,,,,
Letybo,letibotulinumtoxinA-wlbg,Powder for Injection,"February 29, 2024","Hugel, Inc.",Glabellar Lines,https://www.drugs.com/letybo.html,https://www.drugs.com/drug-class/skeletal-muscle-relaxants.html,,,"onabotulinumtoxinA, Botox Cosmetic, Daxxify, Jeuveau",,,,Prescription only,Not a controlled drug,,,
Opsynvi,macitentan and tadalafil,Tablets,"March 22, 2024","Actelion Pharmaceuticals US, Inc.",Pulmonary Arterial Hypertension,https://www.drugs.com/opsynvi.html,,,,"sildenafil, tadalafil, Adcirca, ambrisentan, Revatio, Opsumit",,,,Prescription only,,,,
Rezdiffra,resmetirom,Tablets,"March 14, 2024","Madrigal Pharmaceuticals, Inc.",Nonalcoholic Steatohepatitis,https://www.drugs.com/rezdiffra.html,,,https://www.drugs.com/images/pills/custom/pill35714-1/rezdiffra.jpeg,,,,,Prescription only,,, FDA approved 2024,
